Message ID,Date,Text
2209,2024-05-21 05:39:19,"NZD/JPY BOS Trade - Buy @ 95.64, SL 95.09, TARGET 97.27. Chris"
2174,2024-05-20 05:08:03,"NZD/CHF BOS - .5579, SL .5541, TARGET .5657. Chris"
2172,2024-05-20 05:05:03,"AUD/CAD BOS trade @ .9127, SL .9078, TARGET .9228. Chris"
