Message ID,Date,Text
2245,2024-05-22 14:02:21,Legendary🚀🚀  in around 20 pips profit ✅  I’ve made this trade risk FREE in the premium group ‼️ make sure to take some partials   2/2 so far this week 🤯🤯🤯  Message me right now to get involved! 👉@Mikeyfxtrading
2244,2024-05-22 12:58:50,XAUUSD BUY : 2412.0  TP: open   SL⛔️-2405.0 (70 pips)
2243,2024-05-21 12:27:03,"**WHO TOOK THIS TRADE GUYS BRING ME SOME FIRE OR SHOW ME PROFITSHOTS👉🏼**@mikeyfxtrading  ✅Another 100+ PIP trade final update💵💵  Banked another 20K, and its still going hard‼️  Message me **START** to follow all my trades for free!👉🏼@mikeyfxtrading"
2242,2024-05-21 11:05:24,"‼️ **Told you it was going to fly **‼️  Guys this is my live account how much more proof do you actually need that this is the real deal🤯  My premiums get 3 of these trades a day, imagine the amounts of profits you are missing out on💵✅  Message me **START** to join for free👉🏼@mikeyfxtrading"
2241,2024-05-21 11:01:16,"**TAKING PARTIALS NOW**🚀  Another banger, leave some for a runner because it could by flying soon!   Do you want to follow all my trades on a daily basis?  **FOR FREE? **  Message me **START** 👉🏼@mikeyfxtrading"
2240,2024-05-21 10:48:20,Boom 💥   in around 25 pips profit ✅  Do you want 2/3 trades like this a day for free?‼️  Don’t miss out on this week🚀  **Text me START to get involved! 👉**@Mikeyfxtrading
2239,2024-05-21 09:09:37,XAUUSD BUY : 2417.0  TP: open   SL⛔️-2411.0 (70 pips)
2238,2024-05-20 06:33:28,"**TRADING IS ABOUT TO START, SO ARE YOU GOING TO MAKE SOME CASH THIS WEEK?**‼️  Made 88k last week shared all the trades with my entire premium group💸💸  **Want to follow all my trades for free as well?**💰  Message me **START** 👉🏽@mikeyfxtrading"
2237,2024-05-18 17:44:51,**Guys i am doing the best I can to get through all the chats✅**  I am getting back to you asap!  Appreciate your patience 🙏🏻
2236,2024-05-17 11:51:11,"**YOU MISSED OUT ON SO MUCH PROFITS THIS WEEK**🤯🤯🤯  No free trade today as you guys had 2 yesterday! What an amazing week, couldn’t be happier.   ‼️**Check the video guys**‼️ ✅real trades ✅real profits ✅my personal live account  I can promise you, you guys are wasting valueable time and losing a lot of profit if you are still trying to figure out if this is real or not!  But if you are ready to make some money, ready to trade together with me.  Message me **START** for free access to my premium community 🏆  👉🏼@mikeyfxtrading"
